"filename", "language", "JSON", "XML", "Swift", "C++", "Dart", "YAML", "Markdown", "HTML", "JavaScript", "Properties", "Groovy", "comment", "blank", "total"
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/add_post/add_post.dart", "Dart", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 3, 42
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/add_post/components/body.dart", "Dart", 0, 0, 0, 0, 404, 0, 0, 0, 0, 0, 0, 2, 14, 420
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/chat/chat_screen.dart", "Dart", 0, 0, 0, 0, 339, 0, 0, 0, 0, 0, 0, 1, 11, 351
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/chat/components/chat_list.dart", "Dart", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 4, 103
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/chat/components/receive_message.dart", "Dart", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 3, 50
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/chat/components/send_message.dart", "Dart", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 1, 3, 68
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/chat/components/utility.dart", "Dart", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/chat/home_chat.dart", "Dart", 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 1, 9, 165
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/details/components/body.dart", "Dart", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 2, 4, 110
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/details/components/chat_and_add_to_cart.dart", "Dart", 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 1, 6, 152
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/details/components/color_dots.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 3, 38
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/details/components/list_of_colors.dart", "Dart", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/details/components/product_image.dart", "Dart", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 5, 43
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/details/details_screen.dart", "Dart", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 4, 82
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/forgetPassword/commponent/body.dart", "Dart", 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 8, 160
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/forgetPassword/forgetPassword.dart", "Dart", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 3, 42
